symbol,validated_bt_trades_n,median_stop_pct,in_supplied_liquidity_universe,average_quantity,liquidity_rank_within_validated_set,lot_quantity_1lot,reference_futures_price_inr,one_lot_notional_inr,ranking_per_lot_risk_inr,liquidity_floor_pass,per_lot_risk_rank_after_liquidity_floor,selected_final_8,reference_capital_required_1lot_nrml_margin_inr,reference_contract_expiry,fyers_expected_symbol,fyers_resolution_status,selection_note,price_source,price_source_url,current_contract_check_url
ASHOKLEY,261,1.344,YES,27605652.17,4,5000,169.68,848400.0,11402.496000000001,PASS,17,NO,190594.0,2026-09-29,NSE:ASHOKLEY26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
ICICIBANK,315,1.181,YES,9586834.78,23,700,1434.1,1003869.9999999999,11855.7047,PASS,18,NO,177480.0,2026-09-29,NSE:ICICIBANK26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
UNIONBANK,208,1.47,YES,15126381.52,12,4425,188.79,835395.75,12280.317524999999,PASS,19,NO,180972.0,2026-09-29,NSE:UNIONBANK26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
CANBK,261,1.468,YES,33494086.96,1,6750,126.89,856507.5,12573.5301,PASS,20,NO,296288.0,2026-09-29,NSE:CANBK26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
KALYANKJIL,180,1.615,YES,9152647.83,24,1350,599.2,808920.0000000001,13064.058000000003,PASS,21,NO,239033.0,2026-09-29,NSE:KALYANKJIL26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
PNB,282,1.462,YES,30309217.39,3,8000,117.18,937440.0,13705.372800000001,PASS,22,NO,318306.0,2026-09-29,NSE:PNB26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
MOTHERSON,283,1.398,YES,23885263.04,8,6150,161.86,995439.0000000001,13916.23722,PASS,23,NO,220385.0,2026-09-29,NSE:MOTHERSON26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
NIFTY,369,1.086,YES,2681185.0,26,65,24048.1,1563126.5,16975.55379,PASS,24,NO,176810.0,2026-09-29,NSE:NIFTY26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
SAIL,279,1.818,YES,21763043.48,10,4700,200.83,943901.0000000001,17160.12018,PASS,25,NO,357028.0,2026-09-29,NSE:SAIL26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
BHEL,343,1.542,YES,12424353.26,17,2625,435.7,1143712.5,17636.04675,PASS,26,NO,269402.0,2026-09-29,NSE:BHEL26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
BANKNIFTY,317,1.156,YES,499721.74,27,30,57774.8,1733244.0,20036.300639999998,PASS,27,NO,195930.0,2026-09-29,NSE:BANKNIFTY26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
GMRAIRPORT,134,1.437,NO,,,6975,97.55,680411.25,9777.5096625,FAIL,,NO,,2026-09-29,NSE:GMRAIRPORT26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,EXCLUDE: not present in supplied futures liquidity file,"INDmoney GMRAIRPORT Sep-2026 futures, 2026-09-04",https://www.indmoney.com/futures/gmr-airports-ltd,
NBCC,163,1.708,NO,,,6500,86.77,564005.0,9633.205399999999,FAIL,,NO,,2026-09-29,NSE:NBCC26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,EXCLUDE: not present in supplied futures liquidity file,"INDmoney NBCC Sep-2026 futures, 2026-09-04",https://www.indmoney.com/futures/nbcc-india-ltd,
