order_id,symbol,time_frame,execute_timeframe,stop_timestamp,bar_number_after_stop,bar_timestamp,open,high,low,close,signalled_stop,signalled_target,target_touched_this_bar
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,1,2026-08-05 13:15:00,734.3,735.25,733.2,733.65,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,2,2026-08-05 14:15:00,733.7,736.0,732.6,734.65,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,3,2026-08-05 15:15:00,734.65,735.0,734.65,735.0,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,4,2026-08-06 09:15:00,739.0,740.5,734.6,735.0,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,5,2026-08-06 10:15:00,735.0,735.0,733.55,734.35,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,6,2026-08-06 11:15:00,734.45,736.75,734.4,735.55,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,7,2026-08-06 12:15:00,735.65,738.7,735.0,735.8,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,8,2026-08-06 13:15:00,735.75,736.7,734.6,736.1,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,9,2026-08-06 14:15:00,736.1,736.3,733.6,734.0,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,10,2026-08-06 15:15:00,734.0,734.3,734.0,734.3,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,11,2026-08-07 09:15:00,733.0,736.0,732.9,734.25,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,12,2026-08-07 10:15:00,734.25,734.7,732.7,733.9,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,13,2026-08-07 11:15:00,733.85,734.25,732.3,732.4,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,14,2026-08-07 12:15:00,732.5,733.4,732.05,732.6,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,15,2026-08-07 13:15:00,732.7,733.4,728.2,728.95,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,16,2026-08-07 14:15:00,729.0,732.95,728.5,732.5,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,17,2026-08-07 15:15:00,732.45,732.45,731.0,731.0,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,18,2026-08-10 09:15:00,731.5,735.0,728.5,734.9,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,19,2026-08-10 10:15:00,734.95,737.55,733.5,734.8,733.58,760.38,False
164258,hdfcbank,2,sixty,2026-08-05 12:15:00,20,2026-08-10 11:15:00,734.85,735.3,733.35,734.85,733.58,760.38,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,1,2026-08-31 15:15:00,5249.5,5250.0,5249.5,5250.0,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,2,2026-09-01 09:15:00,5230.0,5256.0,5210.0,5215.0,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,3,2026-09-01 10:15:00,5218.0,5225.5,5200.0,5220.0,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,4,2026-09-01 11:15:00,5220.0,5220.5,5181.5,5190.0,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,5,2026-09-01 12:15:00,5191.0,5192.0,5162.0,5162.5,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,6,2026-09-01 13:15:00,5162.5,5170.5,5148.0,5151.5,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,7,2026-09-01 14:15:00,5151.5,5188.0,5145.5,5170.0,5224.96,5640.5,False
164272,britannia_industries,2,sixty,2026-08-31 14:15:00,8,2026-09-01 15:15:00,5187.0,5187.0,5187.0,5187.0,5224.96,5640.5,False
164283,shriram_finance,1,daily,2026-08-31 05:30:00,1,2026-09-01 05:30:00,1099.0,1099.0,1050.6,1059.1,1067.52,1179.91,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,1,2026-08-19 13:30:00,1077.9,1080.5,1076.5,1079.4,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,2,2026-08-19 13:55:00,1079.7,1081.8,1078.5,1081.0,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,3,2026-08-19 14:20:00,1081.0,1084.2,1079.0,1079.2,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,4,2026-08-19 14:45:00,1079.0,1080.3,1077.7,1079.2,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,5,2026-08-19 15:10:00,1079.2,1101.2,1078.9,1098.2,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,6,2026-08-20 09:20:00,1098.2,1099.0,1092.3,1094.8,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,7,2026-08-20 09:45:00,1095.0,1097.2,1092.1,1095.3,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,8,2026-08-20 10:10:00,1095.3,1099.0,1093.2,1095.1,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,9,2026-08-20 10:35:00,1095.2,1102.3,1094.5,1100.3,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,10,2026-08-20 11:00:00,1100.7,1101.1,1095.0,1095.6,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,11,2026-08-20 11:25:00,1095.7,1097.0,1095.0,1095.5,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,12,2026-08-20 11:50:00,1095.6,1098.2,1095.1,1097.5,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,13,2026-08-20 12:15:00,1097.6,1099.2,1096.9,1099.1,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,14,2026-08-20 12:40:00,1099.2,1100.0,1095.8,1096.1,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,15,2026-08-20 13:05:00,1096.3,1097.3,1095.1,1095.8,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,16,2026-08-20 13:30:00,1095.9,1097.0,1093.6,1094.8,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,17,2026-08-20 13:55:00,1094.8,1096.9,1094.1,1095.0,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,18,2026-08-20 14:20:00,1095.0,1099.4,1094.3,1099.1,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,19,2026-08-20 14:45:00,1099.0,1100.4,1095.8,1096.6,1077.21,1175.29,False
164290,bajaj_finance,6,twenty_five,2026-08-19 13:05:00,20,2026-08-20 15:10:00,1096.5,1105.5,1093.7,1097.4,1077.21,1175.29,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,1,2026-08-31 10:15:00,1063.3,1068.5,1061.6,1062.9,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,2,2026-08-31 11:15:00,1063.4,1077.7,1063.2,1072.2,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,3,2026-08-31 12:15:00,1072.5,1079.0,1071.5,1078.9,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,4,2026-08-31 13:15:00,1079.0,1080.0,1075.2,1077.1,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,5,2026-08-31 14:15:00,1077.4,1088.3,1073.9,1073.9,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,6,2026-08-31 15:15:00,1073.9,1109.9,1073.9,1109.9,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,7,2026-09-01 09:15:00,1099.0,1099.0,1065.4,1069.8,1073.12,1153.7,False
164296,shriram_finance,2,sixty,2026-08-31 09:15:00,8,2026-09-01 10:15:00,1069.7,1073.2,1067.9,1072.5,1073.12,1153.7,False
