order_id,trade_signal_id,symbol,TF,order_type,zone_type,selected_zone_id,signalled_entry,signalled_sl,signalled_target,actual_filled_entry_price,broker_order_id,exchange_order_id,broker_symbol,broker_order_tag,broker_status,broker_filled_qty,broker_fill_timestamp,entry_slippage,fill_timestamp,OCO_confirmed_flag,which_leg_exited,actual_exit_price,exit_timestamp,retest_count,freshness_status_at_emission,penetration_pct,entry_tertile,engine_status,engine_generated_setups_count,match_reason,order_status_status,order_status_reason,profit_amount,profit_pct,loss_amount,loss_pct,mfe_R,mae_R,bars_after_fill,stock_quantity,purchased_cmp_date,purchased_on,is_trade_started,is_evaluated,filled_entry_price_source,exit_price_source,oco_source,selected_zone_source
164258,11536,hdfcbank,2,BUY,GDZ,TEST_X_GDZ_3428,741.91,733.58,760.38,741.91,,,,,,,,0.0,2026-08-04 11:15:00,UNKNOWN,SL,733.58,2026-08-05 12:15:00,0,FRESH_PASS,0.0,1,OK,1,PRICE_MATCH,failed,Stoploss hit,,,-8.33,-1.12,9.1104,4.4046,9,1.0,2026-08-03 11:09:00,2026-08-11 11:10:00,True,True,assumed_signal_entry_price_from_order_master,assumed_stoploss_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
164271,11549,titan,1,BUY,BZ,TEST_X_BZ_1636,4882.51,4799.31,5141.53,4882.51,,,,,,,,0.0,2026-08-05 05:30:00,UNKNOWN,TARGET,5141.53,2026-08-11 05:30:00,0,FRESH_PASS,0.0,1,OK,1,PRICE_MATCH,success,Target hit,259.02,5.31,,,-3.035,-8.4352,3,1.0,2026-08-04 17:41:00,2026-08-04 17:41:00,True,True,assumed_signal_entry_price_from_order_master,assumed_target_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
164290,11562,bajaj_finance,6,BUY,BZ,,1104.7,1077.21,1175.29,1104.7,,,,,,,,0.0,2026-08-10 15:10:00,UNKNOWN,SL,1077.21,2026-08-19 13:05:00,0,FRESH_PASS,0.0,3,OK,0,NO_SAME_SIDE_SETUP,failed,Stoploss hit,,,-27.49,-2.49,,,0,1.0,2026-08-07 15:10:00,2026-08-07 13:02:00,True,True,assumed_signal_entry_price_from_order_master,assumed_stoploss_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
164293,11541,britannia_industries,5,BUY,BZ,,5382.06,5327.31,5517.38,5382.06,,,,,,,,0.0,2026-08-06 13:02:00,UNKNOWN,TARGET,5517.38,2026-08-07 09:15:00,0,FRESH_PASS,0.0,3,OK,0,NO_SAME_SIDE_SETUP,success,Target hit,135.32,2.51,,,-5.0879,-5.9737,1,1.0,2026-08-03 13:22:00,2026-08-11 17:10:00,True,True,assumed_signal_entry_price_from_order_master,assumed_target_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
164305,11652,shriram_finance,6,BUY,BZ,TEST_X_BZ_7355,1118.17,1104.75,1148.37,1118.17,,,,,,,,0.0,2026-08-14 13:25:00,UNKNOWN,SL,1104.75,2026-08-18 10:30:00,0,FRESH_PASS,0.0,1,OK,1,PRICE_MATCH,failed,Stoploss hit,,,-13.42,-1.2,,,0,1.0,2026-08-13 16:00:00,2026-08-13 16:00:00,True,True,assumed_signal_entry_price_from_order_master,assumed_stoploss_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
164308,11675,hindalco_industries,5,BUY,BZ,,1041.76,1025.0,1087.95,1041.76,,,,,,,,0.0,2026-08-18 13:27:00,UNKNOWN,SL,1025.0,2026-08-19 14:15:00,0,FRESH_PASS,0.0,3,OK,0,NO_SAME_SIDE_SETUP,failed,Stoploss hit,,,-16.76,-1.61,,,0,1.0,2026-08-18 12:09:00,2026-08-18 12:10:00,True,True,assumed_signal_entry_price_from_order_master,assumed_stoploss_price_from_order_master,order_master_has_no_oco_confirmation_column,raw_setup_payload.zones_X
