id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
716,patanjali_foods,PATANJALI.NS,1,NULL,PATANJALI,4359425,NSE:PATANJALI-EQ,1
717,petronet_lng,PETRONET.NS,1,NULL,PETRONET,2905857,NSE:PETRONET-EQ,0
718,power_grid_corporation_nse,POWERGRID.BO,0,NULL,NULL,NULL,NULL,0
719,power_grid_corporation,POWERGRID.NS,1,NULL,POWERGRID,3834113,NSE:POWERGRID-EQ,0
720,procter_gamble,PGHH.NS,1,NULL,PGHH,648961,NSE:PGHH-EQ,1
722,reliance_industries_nse,RELIANCE.BO,0,NULL,RELIANCE,738561,NSE:RELIANCE-EQ,0
724,sbi_life,SBILIFE.NS,1,NULL,SBILIFE,5582849,NSE:SBILIFE-EQ,0
725,srf,SRF.NS,1,NULL,SRF,837889,NSE:SRF-EQ,0
726,siemens,SIEMENS.NS,1,NULL,SIEMENS,806401,NSE:SIEMENS-EQ,1
727,state_bank_of_india_nse,SBIN.BO,0,NULL,TTL,NULL,NULL,0
728,state_bank_of_india,SBIN.NS,1,NULL,SBIN,779521,NSE:SBIN-EQ,0
729,steel_authority_of_india,SAIL.NS,1,NULL,SAIL,758529,NSE:SAIL-EQ,0
730,sun_pharmaceutical_nse,SUNPHARMA.BO,0,NULL,TTL,NULL,NULL,0
732,tvs_motor,TVSMOTOR.NS,1,NULL,TVSMOTOR,2170625,NSE:TVSMOTOR-EQ,0
733,tata_consultancy_services,TCS.BO,0,NULL,NULL,NULL,NULL,0
735,tata_consumer_products,TATACONSUM.NS,1,NULL,TATACONSUM,878593,NSE:TATACONSUM-EQ,0
736,tata_motors_nse,TATAMOTORS.BO,0,NULL,TTL,NULL,NULL,0
738,tata_steel,TATASTEEL.BO,0,NULL,TATASTEEL,NULL,NSE:TATASTEEL-EQ,0
739,tata_steel,TATASTEEL.NS,1,NULL,TATASTEEL,895745,NSE:TATASTEEL-EQ,0
740,tech_mahindra_nse,TECHM.BO,0,NULL,TTL,NULL,NULL,0
741,tech_mahindra,TECHM.NS,1,NULL,TECHM,3465729,NSE:TECHM-EQ,0
742,titan_company_nse,TITAN.BO,1,NULL,TITAN,897537,NSE:TITAN-EQ,1
744,torrent_pharmaceuticals,TORNTPHARM.NS,1,NULL,TORNTPHARM,900609,NSE:TORNTPHARM-EQ,1
745,upl,UPL.NS,1,NULL,UPL,2889473,NSE:UPL-EQ,0
746,ultratech_cement_nse,ULTRACEMCO.BO,0,NULL,TTL,NULL,NULL,0
747,ultratech_cement,ULTRACEMCO.NS,1,NULL,ULTRACEMCO,2952193,NSE:ULTRACEMCO-EQ,1
750,vedanta,VEDL.NS,1,NULL,VEDL,784129,NSE:VEDL-EQ,0
751,wipro_nse,WIPRO.BO,0,NULL,WIPRO,NULL,NSE:WIPRO-EQ,0
752,wipro,WIPRO.NS,1,NULL,WIPRO,969473,NSE:WIPRO-EQ,0
753,zydus_life,ZYDUSLIFE.NS,1,NULL,ZYDUSLIFE,2029825,NSE:ZYDUSLIFE-EQ,0
758,nifty,^NSEI,1,NULL,"NIFTY 50",256265,NSE:NIFTY50-INDEX,0
760,honeywell_automation,HONAUT.NS,1,NULL,HONAUT,874753,NSE:HONAUT-EQ,1
765,PGEL,PGEL.NS,1,NULL,PGEL,6491649,NSE:PGEL-EQ,0
766,bharti_airtel,BHARTIARTL.NS,1,NULL,BHARTIARTL,2714625,NSE:BHARTIARTL-EQ,0
767,ntpc,NTPC.NS,1,NULL,NTPC,2977281,NSE:NTPC-EQ,0
768,titan,TITAN.NS,1,NULL,TITAN,897537,NSE:TITAN-EQ,0
769,ongc,ONGC.NS,1,NULL,ONGC,633601,NSE:ONGC-EQ,0
770,bharat_electronics,BEL.NS,1,NULL,BEL,98049,NSE:BEL-EQ,0
771,coal_india,COALINDIA.NS,1,NULL,COALINDIA,5215745,NSE:COALINDIA-EQ,0
772,jsw_steel,JSWSTEEL.NS,1,NULL,JSWSTEEL,3001089,NSE:JSWSTEEL-EQ,0
773,eternal,ETERNAL.NS,1,NULL,ETERNAL,1304833,NSE:ETERNAL-EQ,0
774,trent,TRENT.NS,1,NULL,TRENT,502785,NSE:TRENT-EQ,0
775,jio_financial_service,JIOFIN.NS,1,NULL,JIOFIN,4644609,NSE:JIOFIN-EQ,0
776,shriram_finance,SHRIRAMFIN.NS,1,NULL,SHRIRAMFIN,1102337,NSE:SHRIRAMFIN-EQ,0
